Report Category,Geographic Subdivision,School Name,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Citywide,Citywide,,Not ELL,2014,5 year June,63453,52388,82.6,48092,75.8,91.8,14711,23.2,28.1,33381,52.6,63.7,4296,6.8,8.2,3447,5.4,6327,10,610,1,675,1.1
Citywide,Citywide,,Not ELL,2013,5 year June,64530,52727,81.7,48693,75.5,92.3,14107,21.9,26.8,34586,53.6,65.6,4034,6.3,7.7,4480,6.9,5829,9,859,1.3,619,1
Citywide,Citywide,,Not ELL,2012,5 year June,64379,51558,80.1,48018,74.6,93.1,13145,20.4,25.5,34873,54.2,67.6,3540,5.5,6.9,4991,7.8,6422,10,747,1.2,523,0.8
Citywide,Citywide,,Not ELL,2017,6 year June,59618,52962,88.8,52691,88.4,99.5,24467,41,46.2,28224,47.3,53.3,271,0.5,0.5,1249,2.1,4065,6.8,643,1.1,669,1.1
Citywide,Citywide,,Not ELL,2016,6 year June,60857,53351,87.7,52498,86.3,98.4,21206,34.8,39.7,31292,51.4,58.7,853,1.4,1.6,1548,2.5,4576,7.5,509,0.8,842,1.4
Citywide,Citywide,,Not ELL,2015,6 year June,61141,52597,86,48300,79,91.8,14624,23.9,27.8,33676,55.1,64,4297,7,8.2,1974,3.2,5054,8.3,665,1.1,838,1.4
Citywide,Citywide,,Not ELL,2014,6 year June,63462,53765,84.7,49112,77.4,91.3,14721,23.2,27.4,34391,54.2,64,4653,7.3,8.7,1984,3.1,6279,9.9,668,1.1,762,1.2
Citywide,Citywide,,Not ELL,2013,6 year June,64604,54134,83.8,49603,76.8,91.6,14116,21.9,26.1,35487,54.9,65.6,4531,7,8.4,2280,3.5,6666,10.3,888,1.4,625,1
Citywide,Citywide,,Not ELL,2012,6 year June,64596,53258,82.4,49219,76.2,92.4,13175,20.4,24.7,36044,55.8,67.7,4039,6.3,7.6,2802,4.3,7027,10.9,833,1.3,572,0.9
Citywide,Citywide,,Current ELL,2019,4 year August,7968,4938,62,4896,61.4,99.1,363,4.6,7.4,4533,56.9,91.8,42,0.5,0.9,1524,19.1,1353,17,73,0.9,77,1
Citywide,Citywide,,Current ELL,2018,4 year August,9760,6542,67,6494,66.5,99.3,1033,10.6,15.8,5461,56,83.5,48,0.5,0.7,1502,15.4,1503,15.4,111,1.1,98,1
Citywide,Citywide,,Current ELL,2017,4 year August,8376,5052,60.3,5026,60,99.5,826,9.9,16.3,4200,50.1,83.1,26,0.3,0.5,1824,21.8,1318,15.7,76,0.9,105,1.3
Citywide,Citywide,,Current ELL,2016,4 year August,7429,3393,45.7,3225,43.4,95,210,2.8,6.2,3015,40.6,88.9,168,2.3,5,2069,27.9,1701,22.9,77,1,187,2.5
Citywide,Citywide,,Current ELL,2015,4 year August,7425,3036,40.9,2026,27.3,66.7,102,1.4,3.4,1924,25.9,63.4,1010,13.6,33.3,2270,30.6,1899,25.6,96,1.3,123,1.7
Citywide,Citywide,,Current ELL,2014,4 year August,6771,2352,34.7,1564,23.1,66.5,84,1.2,3.6,1480,21.9,62.9,788,11.6,33.5,2403,35.5,1804,26.6,105,1.6,107,1.6
Citywide,Citywide,,Current ELL,2013,4 year August,6372,2072,32.5,1506,23.6,72.7,89,1.4,4.3,1417,22.2,68.4,566,8.9,27.3,2336,36.7,1733,27.2,123,1.9,85,1.3
Citywide,Citywide,,Current ELL,2012,4 year August,6159,1921,31.2,1512,24.5,78.7,90,1.5,4.7,1422,23.1,74,409,6.6,21.3,2335,37.9,1666,27,137,2.2,72,1.2
Citywide,Citywide,,Current ELL,2019,4 year June,7968,4618,58,4584,57.5,99.3,352,4.4,7.6,4232,53.1,91.6,34,0.4,0.7,1837,23.1,1358,17,75,0.9,77,1
Citywide,Citywide,,Current ELL,2018,4 year June,9760,6272,64.3,6236,63.9,99.4,1018,10.4,16.2,5218,53.5,83.2,36,0.4,0.6,1767,18.1,1508,15.5,111,1.1,98,1
Citywide,Citywide,,Current ELL,2017,4 year June,8376,4669,55.7,4645,55.5,99.5,804,9.6,17.2,3841,45.9,82.3,24,0.3,0.5,2202,26.3,1323,15.8,76,0.9,105,1.3
Citywide,Citywide,,Current ELL,2016,4 year June,7429,3155,42.5,2997,40.3,95,208,2.8,6.6,2789,37.5,88.4,158,2.1,5,2304,31,1704,22.9,77,1,187,2.5
Citywide,Citywide,,Current ELL,2015,4 year June,7425,2578,34.7,1751,23.6,67.9,100,1.3,3.9,1651,22.2,64,827,11.1,32.1,2723,36.7,1904,25.6,96,1.3,123,1.7
Citywide,Citywide,,Current ELL,2014,4 year June,6771,1968,29.1,1353,20,68.8,80,1.2,4.1,1273,18.8,64.7,615,9.1,31.3,2785,41.1,1804,26.6,107,1.6,107,1.6
Citywide,Citywide,,Current ELL,2013,4 year June,6372,1754,27.5,1289,20.2,73.5,81,1.3,4.6,1208,19,68.9,465,7.3,26.5,2654,41.7,1733,27.2,123,1.9,85,1.3
Citywide,Citywide,,Current ELL,2012,4 year June,6159,1678,27.2,1354,22,80.7,88,1.4,5.2,1266,20.6,75.4,324,5.3,19.3,2575,41.8,1666,27,140,2.3,72,1.2
Citywide,Citywide,,Current ELL,2018,5 year August,9615,6823,71,6763,70.3,99.1,1039,10.8,15.2,5724,59.5,83.9,60,0.6,0.9,553,5.8,1862,19.4,264,2.7,107,1.1
Citywide,Citywide,,Current ELL,2017,5 year August,8318,5483,65.9,5442,65.4,99.3,838,10.1,15.3,4604,55.3,84,41,0.5,0.7,627,7.5,1838,22.1,244,2.9,126,1.5
Citywide,Citywide,,Current ELL,2016,5 year August,7314,3940,53.9,3762,51.4,95.5,225,3.1,5.7,3537,48.4,89.8,178,2.4,4.5,893,12.2,2135,29.2,172,2.4,169,2.3
Citywide,Citywide,,Current ELL,2015,5 year August,6962,3614,51.9,2537,36.4,70.2,109,1.6,3,2428,34.9,67.2,1077,15.5,29.8,669,9.6,2264,32.5,278,4,135,1.9
Citywide,Citywide,,Current ELL,2014,5 year August,6406,2706,42.2,1719,26.8,63.5,85,1.3,3.1,1634,25.5,60.4,987,15.4,36.5,712,11.1,2592,40.5,293,4.6,103,1.6
Citywide,Citywide,,Current ELL,2013,5 year August,5964,2337,39.2,1600,26.8,68.5,89,1.5,3.8,1511,25.3,64.7,737,12.4,31.5,963,16.1,2264,38,304,5.1,90,1.5
Citywide,Citywide,,Current ELL,2012,5 year August,5894,2245,38.1,1699,28.8,75.7,94,1.6,4.2,1605,27.2,71.5,546,9.3,24.3,996,16.9,2176,36.9,368,6.2,86,1.5
Citywide,Citywide,,Current ELL,2018,5 year June,9615,6768,70.4,6709,69.8,99.1,1037,10.8,15.3,5672,59,83.8,59,0.6,0.9,602,6.3,1868,19.4,264,2.7,107,1.1
Citywide,Citywide,,Current ELL,2017,5 year June,8318,5420,65.2,5382,64.7,99.3,838,10.1,15.5,4544,54.6,83.8,38,0.5,0.7,676,8.1,1852,22.3,244,2.9,126,1.5
Citywide,Citywide,,Current ELL,2016,5 year June,7314,3857,52.7,3679,50.3,95.4,223,3,5.8,3456,47.3,89.6,178,2.4,4.6,970,13.3,2141,29.3,172,2.4,169,2.3
Citywide,Citywide,,Current ELL,2015,5 year June,6962,3546,50.9,2473,35.5,69.7,106,1.5,3,2367,34,66.8,1073,15.4,30.3,714,10.3,2287,32.8,278,4,135,1.9
Citywide,Citywide,,Current ELL,2014,5 year June,6406,2624,41,1681,26.2,64.1,85,1.3,3.2,1596,24.9,60.8,943,14.7,35.9,776,12.1,2610,40.7,293,4.6,103,1.6
Citywide,Citywide,,Current ELL,2013,5 year June,5964,2266,38,1571,26.3,69.3,89,1.5,3.9,1482,24.8,65.4,695,11.7,30.7,1028,17.2,2268,38,306,5.1,90,1.5
Citywide,Citywide,,Current ELL,2012,5 year June,5894,2181,37,1658,28.1,76,94,1.6,4.3,1564,26.5,71.7,523,8.9,24,1055,17.9,2180,37,368,6.2,86,1.5
Citywide,Citywide,,Current ELL,2017,6 year June,8269,5533,66.9,5487,66.4,99.2,838,10.1,15.1,4649,56.2,84,46,0.6,0.8,334,4,2004,24.2,279,3.4,119,1.4
Citywide,Citywide,,Current ELL,2016,6 year June,7303,4074,55.8,3892,53.3,95.5,225,3.1,5.5,3667,50.2,90,182,2.5,4.5,438,6,2390,32.7,231,3.2,166,2.3
Citywide,Citywide,,Current ELL,2015,6 year June,6940,3754,54.1,2671,38.5,71.2,111,1.6,3,2560,36.9,68.2,1083,15.6,28.8,393,5.7,2361,34,307,4.4,123,1.8
Citywide,Citywide,,Current ELL,2014,6 year June,6327,2925,46.2,1887,29.8,64.5,88,1.4,3,1799,28.4,61.5,1038,16.4,35.5,389,6.1,2580,40.8,327,5.2,106,1.7
Citywide,Citywide,,Current ELL,2013,6 year June,5885,2451,41.6,1642,27.9,67,91,1.5,3.7,1551,26.4,63.3,809,13.7,33,563,9.6,2462,41.8,325,5.5,79,1.3
Citywide,Citywide,,Current ELL,2012,6 year June,5758,2336,40.6,1722,29.9,73.7,95,1.6,4.1,1627,28.3,69.6,614,10.7,26.3,567,9.8,2374,41.2,395,6.9,72,1.3
Citywide,Citywide,,Ever ELL,2019,4 year August,15811,14417,91.2,14388,91,99.8,5512,34.9,38.2,8876,56.1,61.6,29,0.2,0.2,903,5.7,378,2.4,8,0.1,97,0.6
Citywide,Citywide,,Ever ELL,2018,4 year August,13476,12264,91,12245,90.9,99.8,5978,44.4,48.7,6267,46.5,51.1,19,0.1,0.2,815,6,297,2.2,11,0.1,84,0.6
Citywide,Citywide,,Ever ELL,2017,4 year August,16749,15116,90.3,15072,90,99.7,7868,47,52.1,7204,43,47.7,44,0.3,0.3,1201,7.2,324,1.9,13,0.1,91,0.5
Citywide,Citywide,,Ever ELL,2016,4 year August,19032,17007,89.4,16837,88.5,99,7327,38.5,43.1,9510,50,55.9,170,0.9,1,1476,7.8,406,2.1,11,0.1,130,0.7
Citywide,Citywide,,Ever ELL,2015,4 year August,19019,16683,87.7,15779,83,94.6,5232,27.5,31.4,10547,55.5,63.2,904,4.8,5.4,1595,8.4,602,3.2,13,0.1,126,0.7
Citywide,Citywide,,Ever ELL,2014,4 year August,14994,12819,85.5,11972,79.8,93.4,3188,21.3,24.9,8784,58.6,68.5,847,5.6,6.6,1533,10.2,541,3.6,12,0.1,89,0.6
Citywide,Citywide,,Ever ELL,2013,4 year August,12425,10361,83.4,9606,77.3,92.7,2440,19.6,23.5,7166,57.7,69.2,755,6.1,7.3,1496,12,485,3.9,20,0.2,56,0.5
Citywide,Citywide,,Ever ELL,2012,4 year August,14179,11788,83.1,11114,78.4,94.3,2725,19.2,23.1,8389,59.2,71.2,674,4.8,5.7,1882,13.3,424,3,28,0.2,45,0.3
Citywide,Citywide,,Ever ELL,2019,4 year June,15811,14025,88.7,13993,88.5,99.8,5476,34.6,39,8517,53.9,60.7,32,0.2,0.2,1286,8.1,384,2.4,11,0.1,97,0.6
Citywide,Citywide,,Ever ELL,2018,4 year June,13476,11929,88.5,11912,88.4,99.9,5942,44.1,49.8,5970,44.3,50,17,0.1,0.1,1148,8.5,299,2.2,11,0.1,84,0.6
Citywide,Citywide,,Ever ELL,2017,4 year June,16749,14673,87.6,14631,87.4,99.7,7754,46.3,52.8,6877,41.1,46.9,42,0.3,0.3,1639,9.8,329,2,13,0.1,91,0.5
Citywide,Citywide,,Ever ELL,2016,4 year June,19032,16673,87.6,16512,86.8,99,7289,38.3,43.7,9223,48.5,55.3,161,0.8,1,1808,9.5,408,2.1,11,0.1,130,0.7
Citywide,Citywide,,Ever ELL,2015,4 year June,19019,16086,84.6,15275,80.3,95,5194,27.3,32.3,10081,53,62.7,811,4.3,5,2186,11.5,608,3.2,13,0.1,126,0.7
Citywide,Citywide,,Ever ELL,2014,4 year June,14994,12291,82,11564,77.1,94.1,3170,21.1,25.8,8394,56,68.3,727,4.8,5.9,2060,13.7,541,3.6,13,0.1,89,0.6
Citywide,Citywide,,Ever ELL,2013,4 year June,12425,9941,80,9276,74.7,93.3,2422,19.5,24.4,6854,55.2,68.9,665,5.4,6.7,1912,15.4,485,3.9,24,0.2,56,0.5
Citywide,Citywide,,Ever ELL,2012,4 year June,14179,11287,79.6,10698,75.4,94.8,2707,19.1,24,7991,56.4,70.8,589,4.2,5.2,2382,16.8,424,3,29,0.2,45,0.3
Citywide,Citywide,,Ever ELL,2018,5 year August,13558,12636,93.2,12607,93,99.8,5988,44.2,47.4,6619,48.8,52.4,29,0.2,0.2,271,2,523,3.9,11,0.1,111,0.8
Citywide,Citywide,,Ever ELL,2017,5 year August,12846,11915,92.8,11886,92.5,99.8,5617,43.7,47.1,6269,48.8,52.6,29,0.2,0.2,293,2.3,503,3.9,18,0.1,112,0.9
Citywide,Citywide,,Ever ELL,2016,5 year August,19086,17648,92.5,17454,91.4,98.9,7364,38.6,41.7,10090,52.9,57.2,194,1,1.1,588,3.1,651,3.4,23,0.1,175,0.9
Citywide,Citywide,,Ever ELL,2015,5 year August,19444,17766,91.4,16705,85.9,94,5259,27,29.6,11446,58.9,64.4,1061,5.5,6,576,3,877,4.5,34,0.2,189,1
Citywide,Citywide,,Ever ELL,2014,5 year August,18763,16739,89.2,15584,83.1,93.1,4643,24.7,27.7,10941,58.3,65.4,1155,6.2,6.9,557,3,1270,6.8,34,0.2,163,0.9
Citywide,Citywide,,Ever ELL,2013,5 year August,12726,11074,87,10134,79.6,91.5,2416,19,21.8,7718,60.6,69.7,940,7.4,8.5,647,5.1,816,6.4,94,0.7,91,0.7
Citywide,Citywide,,Ever ELL,2012,5 year August,10840,9314,85.9,8609,79.4,92.4,1794,16.5,19.3,6815,62.9,73.2,705,6.5,7.6,657,6.1,760,7,44,0.4,56,0.5
Citywide,Citywide,,Ever ELL,2018,5 year June,13558,12594,92.9,12565,92.7,99.8,5988,44.2,47.5,6577,48.5,52.2,29,0.2,0.2,298,2.2,538,4,11,0.1,111,0.8
Citywide,Citywide,,Ever ELL,2017,5 year June,12846,11869,92.4,11841,92.2,99.8,5615,43.7,47.3,6226,48.5,52.5,28,0.2,0.2,330,2.6,512,4,18,0.1,112,0.9
Citywide,Citywide,,Ever ELL,2016,5 year June,19086,17577,92.1,17385,91.1,98.9,7359,38.6,41.9,10026,52.5,57,192,1,1.1,646,3.4,664,3.5,23,0.1,175,0.9
Citywide,Citywide,,Ever ELL,2015,5 year June,19444,17673,90.9,16614,85.4,94,5258,27,29.8,11356,58.4,64.3,1059,5.4,6,638,3.3,908,4.7,34,0.2,189,1
Citywide,Citywide,,Ever ELL,2014,5 year June,18763,16619,88.6,15499,82.6,93.3,4642,24.7,27.9,10857,57.9,65.3,1120,6,6.7,641,3.4,1305,7,34,0.2,164,0.9
Citywide,Citywide,,Ever ELL,2013,5 year June,12726,10981,86.3,10062,79.1,91.6,2415,19,22,7647,60.1,69.6,919,7.2,8.4,735,5.8,821,6.5,94,0.7,91,0.7
Citywide,Citywide,,Ever ELL,2012,5 year June,10840,9241,85.2,8550,78.9,92.5,1794,16.5,19.4,6756,62.3,73.1,691,6.4,7.5,728,6.7,762,7,44,0.4,56,0.5
Citywide,Citywide,,Ever ELL,2017,6 year June,12864,12004,93.3,11970,93.1,99.7,5619,43.7,46.8,6351,49.4,52.9,34,0.3,0.3,148,1.2,567,4.4,20,0.2,121,0.9
Citywide,Citywide,,Ever ELL,2016,6 year June,14436,13468,93.3,13301,92.1,98.8,4824,33.4,35.8,8477,58.7,62.9,167,1.2,1.2,179,1.2,611,4.2,26,0.2,151,1
Citywide,Citywide,,Ever ELL,2015,6 year June,19452,17966,92.4,16900,86.9,94.1,5260,27,29.3,11640,59.8,64.8,1066,5.5,5.9,334,1.7,916,4.7,38,0.2,196,1
Citywide,Citywide,,Ever ELL,2014,6 year June,18842,17052,90.5,15844,84.1,92.9,4643,24.6,27.2,11201,59.4,65.7,1208,6.4,7.1,328,1.7,1238,6.6,42,0.2,182,1
Citywide,Citywide,,Ever ELL,2013,6 year June,16269,14433,88.7,13315,81.8,92.3,3628,22.3,25.1,9687,59.5,67.1,1118,6.9,7.7,370,2.3,1214,7.5,130,0.8,118,0.7
Citywide,Citywide,,Ever ELL,2012,6 year June,10918,9504,87,8739,80,92,1794,16.4,18.9,6945,63.6,73.1,765,7,8,379,3.5,872,8,52,0.5,61,0.6
Citywide,Citywide,,Never ELL,2019,4 year August,46114,39148,84.9,39011,84.6,99.7,12791,27.7,32.7,26220,56.9,67,137,0.3,0.3,4346,9.4,2017,4.4,179,0.4,395,0.9
Citywide,Citywide,,Never ELL,2018,4 year August,47676,40568,85.1,40371,84.7,99.5,17704,37.1,43.6,22667,47.5,55.9,197,0.4,0.5,4491,9.4,2031,4.3,200,0.4,365,0.8
Citywide,Citywide,,Never ELL,2017,4 year August,47538,39887,83.9,39585,83.3,99.2,18041,38,45.2,21544,45.3,54,302,0.6,0.8,5200,10.9,1903,4,138,0.3,370,0.8
Citywide,Citywide,,Never ELL,2016,4 year August,47104,38304,81.3,37672,80,98.4,15120,32.1,39.5,22552,47.9,58.9,632,1.3,1.6,5840,12.4,2231,4.7,181,0.4,535,1.1
Citywide,Citywide,,Never ELL,2015,4 year August,47328,37316,78.8,34043,71.9,91.2,10270,21.7,27.5,23773,50.2,63.7,3273,6.9,8.8,6114,12.9,3244,6.9,208,0.4,443,0.9
Citywide,Citywide,,Never ELL,2014,4 year August,53183,41752,78.5,38623,72.6,92.5,12386,23.3,29.7,26237,49.3,62.8,3129,5.9,7.5,7462,14,3269,6.1,234,0.4,457,0.9
Citywide,Citywide,,Never ELL,2013,4 year August,54357,41891,77.1,39159,72,93.5,12230,22.5,29.2,26929,49.5,64.3,2732,5,6.5,8159,15,3516,6.5,285,0.5,428,0.8
Citywide,Citywide,,Never ELL,2012,4 year August,53834,40452,75.1,37954,70.5,93.8,10994,20.4,27.2,26960,50.1,66.6,2498,4.6,6.2,8386,15.6,4180,7.8,302,0.6,365,0.7
Citywide,Citywide,,Never ELL,2019,4 year June,46114,38025,82.5,37893,82.2,99.7,12749,27.6,33.5,25144,54.5,66.1,132,0.3,0.3,5427,11.8,2055,4.5,183,0.4,395,0.9
Citywide,Citywide,,Never ELL,2018,4 year June,47676,39530,82.9,39355,82.5,99.6,17589,36.9,44.5,21766,45.7,55.1,175,0.4,0.4,5511,11.6,2049,4.3,200,0.4,365,0.8
Citywide,Citywide,,Never ELL,2017,4 year June,47538,38720,81.5,38448,80.9,99.3,17884,37.6,46.2,20564,43.3,53.1,272,0.6,0.7,6356,13.4,1913,4,139,0.3,370,0.8
Citywide,Citywide,,Never ELL,2016,4 year June,47104,37494,79.6,36894,78.3,98.4,15066,32,40.2,21828,46.3,58.2,600,1.3,1.6,6625,14.1,2256,4.8,181,0.4,535,1.1
Citywide,Citywide,,Never ELL,2015,4 year June,47328,35829,75.7,32924,69.6,91.9,10224,21.6,28.5,22700,48,63.4,2905,6.1,8.1,7565,16,3278,6.9,210,0.4,443,0.9
Citywide,Citywide,,Never ELL,2014,4 year June,53183,40211,75.6,37422,70.4,93.1,12332,23.2,30.7,25090,47.2,62.4,2789,5.2,6.9,9000,16.9,3269,6.1,237,0.4,457,0.9
Citywide,Citywide,,Never ELL,2013,4 year June,54357,40323,74.2,37911,69.7,94,12173,22.4,30.2,25738,47.3,63.8,2412,4.4,6,9716,17.9,3516,6.5,295,0.5,428,0.8
Citywide,Citywide,,Never ELL,2012,4 year June,53834,38945,72.3,36740,68.2,94.3,10956,20.4,28.1,25784,47.9,66.2,2205,4.1,5.7,9887,18.4,4181,7.8,305,0.6,365,0.7
Citywide,Citywide,,Never ELL,2018,5 year August,47458,41734,87.9,41487,87.4,99.4,17729,37.4,42.5,23758,50.1,56.9,247,0.5,0.6,1714,3.6,2951,6.2,544,1.1,497,1
Citywide,Citywide,,Never ELL,2017,5 year August,50931,44562,87.5,44338,87.1,99.5,20333,39.9,45.6,24005,47.1,53.9,224,0.4,0.5,1980,3.9,3239,6.4,571,1.1,543,1.1
Citywide,Citywide,,Never ELL,2016,5 year August,47016,40028,85.1,39302,83.6,98.2,15154,32.2,37.9,24148,51.4,60.3,726,1.5,1.8,2680,5.7,3266,6.9,363,0.8,650,1.4
Citywide,Citywide,,Never ELL,2015,5 year August,47297,39295,83.1,35680,75.4,90.8,10291,21.8,26.2,25389,53.7,64.6,3615,7.6,9.2,2696,5.7,4074,8.6,582,1.2,645,1.4
Citywide,Citywide,,Never ELL,2014,5 year August,49691,40679,81.9,36972,74.4,90.9,10959,22.1,26.9,26013,52.3,63.9,3707,7.5,9.1,2719,5.5,5174,10.4,578,1.2,535,1.1
Citywide,Citywide,,Never ELL,2013,5 year August,54192,44021,81.2,40578,74.9,92.2,12149,22.4,27.6,28429,52.5,64.6,3443,6.4,7.8,3638,6.7,5203,9.6,773,1.4,544,1
Citywide,Citywide,,Never ELL,2012,5 year August,57365,46124,80.4,42859,74.7,92.9,11941,20.8,25.9,30918,53.9,67,3265,5.7,7.1,4111,7.2,5820,10.1,706,1.2,474,0.8
Citywide,Citywide,,Never ELL,2018,5 year June,47458,41584,87.6,41341,87.1,99.4,17727,37.4,42.6,23614,49.8,56.8,243,0.5,0.6,1828,3.9,2987,6.3,544,1.1,497,1
Citywide,Citywide,,Never ELL,2017,5 year June,50931,44429,87.2,44208,86.8,99.5,20330,39.9,45.8,23878,46.9,53.7,221,0.4,0.5,2080,4.1,3272,6.4,571,1.1,543,1.1
Citywide,Citywide,,Never ELL,2016,5 year June,47016,39815,84.7,39104,83.2,98.2,15152,32.2,38.1,23952,50.9,60.2,711,1.5,1.8,2874,6.1,3285,7,363,0.8,650,1.4
Citywide,Citywide,,Never ELL,2015,5 year June,47297,39086,82.6,35492,75,90.8,10290,21.8,26.3,25202,53.3,64.5,3594,7.6,9.2,2830,6,4149,8.8,582,1.2,645,1.4
Citywide,Citywide,,Never ELL,2014,5 year June,49691,40404,81.3,36810,74.1,91.1,10952,22,27.1,25858,52,64,3594,7.2,8.9,2917,5.9,5251,10.6,578,1.2,535,1.1
Citywide,Citywide,,Never ELL,2013,5 year June,54192,43716,80.7,40396,74.5,92.4,12147,22.4,27.8,28249,52.1,64.6,3320,6.1,7.6,3938,7.3,5207,9.6,774,1.4,544,1
Citywide,Citywide,,Never ELL,2012,5 year June,57365,45789,79.8,42643,74.3,93.1,11941,20.8,26.1,30702,53.5,67.1,3146,5.5,6.9,4436,7.7,5829,10.2,706,1.2,474,0.8
Citywide,Citywide,,Never ELL,2017,6 year June,50851,44904,88.3,44656,87.8,99.4,20333,40,45.3,24323,47.8,54.2,248,0.5,0.6,1121,2.2,3596,7.1,628,1.2,574,1.1
Citywide,Citywide,,Never ELL,2016,6 year June,51571,44844,87,44074,85.5,98.3,17704,34.3,39.5,26370,51.1,58.8,770,1.5,1.7,1392,2.7,4093,7.9,487,0.9,725,1.4
Citywide,Citywide,,Never ELL,2015,6 year June,47245,39956,84.6,36282,76.8,90.8,10296,21.8,25.8,25986,55,65,3674,7.8,9.2,1679,3.6,4301,9.1,629,1.3,669,1.4
Citywide,Citywide,,Never ELL,2014,6 year June,49646,41460,83.5,37569,75.7,90.6,10961,22.1,26.4,26608,53.6,64.2,3891,7.8,9.4,1695,3.4,5254,10.6,628,1.3,605,1.2
Citywide,Citywide,,Never ELL,2013,6 year June,50694,41756,82.4,38118,75.2,91.3,10943,21.6,26.2,27175,53.6,65.1,3638,7.2,8.7,1960,3.9,5682,11.2,767,1.5,521,1
Citywide,Citywide,,Never ELL,2012,6 year June,57198,46963,82.1,43405,75.9,92.4,11941,20.9,25.4,31464,55,67,3558,6.2,7.6,2523,4.4,6341,11.1,786,1.4,520,0.9
Citywide,Citywide,,Not SWD,2019,4 year August,55958,49360,88.2,49331,88.2,99.9,17965,32.1,36.4,31366,56.1,63.5,29,0.1,0.1,3479,6.2,2666,4.8,6,0,425,0.8
Citywide,Citywide,,Not SWD,2018,4 year August,56956,50422,88.5,50296,88.3,99.8,23383,41.1,46.4,26913,47.3,53.4,126,0.2,0.2,3368,5.9,2758,4.8,5,0,386,0.7
Citywide,Citywide,,Not SWD,2017,4 year August,58340,51214,87.8,51192,87.7,100,25323,43.4,49.4,25869,44.3,50.5,22,0,0,4294,7.4,2438,4.2,4,0,376,0.6
Citywide,Citywide,,Not SWD,2016,4 year August,59930,51004,85.1,50798,84.8,99.6,21882,36.5,42.9,28916,48.2,56.7,206,0.3,0.4,5208,8.7,3101,5.2,5,0,604,1
Citywide,Citywide,,Not SWD,2015,4 year August,60045,49820,83,48114,80.1,96.6,15338,25.5,30.8,32776,54.6,65.8,1706,2.8,3.4,5804,9.7,3933,6.6,6,0,480,0.8
Citywide,Citywide,,Not SWD,2014,4 year August,61283,50033,81.6,48581,79.3,97.1,15403,25.1,30.8,33178,54.1,66.3,1452,2.4,2.9,6901,11.3,3861,6.3,30,0,451,0.7
Citywide,Citywide,,Not SWD,2013,4 year August,60118,48234,80.2,47091,78.3,97.6,14527,24.2,30.1,32564,54.2,67.5,1143,1.9,2.4,7452,12.4,3932,6.5,24,0,406,0.7
Citywide,Citywide,,Not SWD,2012,4 year August,61234,48294,78.9,47406,77.4,98.2,13612,22.2,28.2,33794,55.2,70,888,1.5,1.8,8040,13.1,4405,7.2,28,0,334,0.5
Citywide,Citywide,,Not SWD,2019,4 year June,55958,47983,85.7,47925,85.6,99.9,17879,32,37.3,30046,53.7,62.6,58,0.1,0.1,4811,8.6,2703,4.8,14,0,425,0.8
Citywide,Citywide,,Not SWD,2018,4 year June,56956,49202,86.4,49085,86.2,99.8,23221,40.8,47.2,25864,45.4,52.6,117,0.2,0.2,4572,8,2774,4.9,5,0,386,0.7
Citywide,Citywide,,Not SWD,2017,4 year June,58340,49744,85.3,49713,85.2,99.9,25054,42.9,50.4,24659,42.3,49.6,31,0.1,0.1,5749,9.9,2453,4.2,4,0,376,0.6
Citywide,Citywide,,Not SWD,2016,4 year June,59930,49928,83.3,49733,83,99.6,21795,36.4,43.7,27938,46.6,56,195,0.3,0.4,6261,10.4,3124,5.2,5,0,604,1
Citywide,Citywide,,Not SWD,2015,4 year June,60045,47766,79.6,46367,77.2,97.1,15254,25.4,31.9,31113,51.8,65.1,1399,2.3,2.9,7827,13,3964,6.6,6,0,480,0.8
Citywide,Citywide,,Not SWD,2014,4 year June,61283,48059,78.4,46903,76.5,97.6,15330,25,31.9,31573,51.5,65.7,1156,1.9,2.4,8873,14.5,3861,6.3,32,0.1,451,0.7
Citywide,Citywide,,Not SWD,2013,4 year June,60118,46366,77.1,45429,75.6,98,14452,24,31.2,30977,51.5,66.8,937,1.6,2,9313,15.5,3932,6.5,30,0,406,0.7
Citywide,Citywide,,Not SWD,2012,4 year June,61234,46495,75.9,45759,74.7,98.4,13557,22.1,29.2,32202,52.6,69.3,736,1.2,1.6,9836,16.1,4406,7.2,28,0,334,0.5
Citywide,Citywide,,Not SWD,2018,5 year August,56924,51628,90.7,51495,90.5,99.7,23420,41.1,45.4,28075,49.3,54.4,133,0.2,0.3,1004,1.8,3745,6.6,3,0,525,0.9
Citywide,Citywide,,Not SWD,2017,5 year August,58424,52768,90.3,52710,90.2,99.9,25380,43.4,48.1,27330,46.8,51.8,58,0.1,0.1,1258,2.2,3838,6.6,4,0,542,0.9
Citywide,Citywide,,Not SWD,2016,5 year August,59911,52943,88.4,52729,88,99.6,21951,36.6,41.5,30778,51.4,58.1,214,0.4,0.4,2054,3.4,4211,7,6,0,682,1.1
